n,Recursive Factorial,Recursive Results,Non-Recursive Factorial (Iterative),Iterative Results
0,54883,1,141,1
1,100,1,58,1
2,66,2,58,2
3,66,6,50,6
4,83,24,58,24
5,99,120,50,120
6,199,720,1041,720
7,141,5040,58,5040
8,158,40320,74,40320
9,675,362880,83,362880
10,208,3628800,83,3628800
11,233,39916800,91,39916800
12,199,479001600,83,479001600
13,475,6227020800,83,6227020800
14,258,87178291200,91,87178291200
15,291,1307674368000,83,1307674368000
16,283,20922789888000,83,20922789888000
17,316,355687428096000,108,355687428096000
18,316,6402373705728000,125,6402373705728000
19,300,121645100408832000,108,121645100408832000
20,308,2432902008176640000,166,2432902008176640000
